t_rel,state_stamp,x,y,z,vx,vy,vz
6.658424,1783997323.392780,0.436084,0.031494,1.190452,1.818320,0.011100,0.190676
6.668443,1783997323.401536,0.454042,0.031824,1.192865,1.852179,0.015253,0.203972
6.678746,1783997323.418278,0.473101,0.032506,1.196049,1.879580,0.021565,0.220679
6.688920,1783997323.423750,0.491720,0.032929,1.198680,1.908395,0.025720,0.234261
6.698940,1783997323.434850,0.514409,0.033493,1.202005,1.939815,0.030443,0.251088
6.708807,1783997323.445379,0.513445,0.033821,1.202482,1.933403,0.032327,0.253439
6.718955,1783997323.454788,0.533974,0.034491,1.205749,1.955386,0.036566,0.268563
6.728821,1783997323.454788,0.533974,0.034491,1.205749,1.955386,0.036566,0.268563
6.738819,1783997323.475255,0.573080,0.035950,1.212364,1.985743,0.042651,0.295182
6.748875,1783997323.487965,0.593856,0.036789,1.216115,1.999471,0.044523,0.308761
6.758821,1783997323.496984,0.618397,0.037560,1.220187,2.012600,0.044436,0.319935
6.768806,1783997323.508374,0.636341,0.038294,1.223449,2.015600,0.044198,0.327132
6.778891,1783997323.516931,0.654588,0.039015,1.226865,2.020461,0.043169,0.334216
6.788816,1783997323.516940,0.671805,0.039774,1.230202,2.018350,0.041984,0.338415
6.798803,1783997323.539389,0.690360,0.040453,1.233806,2.025687,0.039797,0.343890
6.808807,1783997323.547760,0.709032,0.041135,1.237533,2.034016,0.037374,0.348250
6.818809,1783997323.557763,0.728134,0.041758,1.241307,2.045209,0.034671,0.351394
6.830009,1783997323.569012,0.748463,0.042435,1.245337,2.052961,0.032006,0.351509
6.840060,1783997323.576790,0.767946,0.042940,1.249029,2.066630,0.029298,0.350979
6.850056,1783997323.587980,0.788819,0.043531,1.253044,2.077747,0.027049,0.347806
6.860062,1783997323.598589,0.808092,0.044076,1.256759,2.089561,0.025572,0.344149
6.870053,1783997323.598589,0.808092,0.044076,1.256759,2.089561,0.025572,0.344149
6.880074,1783997323.617744,0.851840,0.045127,1.264696,2.121058,0.023857,0.331006
6.890059,1783997323.627821,0.871396,0.045651,1.268164,2.131503,0.024466,0.322131
6.900139,1783997323.627853,0.891226,0.046157,1.271511,2.142308,0.025722,0.311749
6.910196,1783997323.639639,0.891226,0.046157,1.271511,2.142308,0.025722,0.311749
6.920411,1783997323.661070,0.910284,0.046876,1.274961,2.146803,0.028678,0.300857
6.930905,1783997323.661091,0.931697,0.047501,1.278317,2.152409,0.031768,0.286135
6.941271,1783997323.670233,0.931697,0.047501,1.278317,2.152409,0.031768,0.286135
6.951328,1783997323.687804,0.953586,0.048108,1.281501,2.159339,0.035272,0.270660
6.961441,1783997323.694562,0.974994,0.048720,1.284355,2.161165,0.039329,0.252800
6.971629,1783997323.703799,0.996372,0.049465,1.287215,2.161394,0.044366,0.235556
6.981349,1783997323.714586,1.016395,0.050109,1.289606,2.163804,0.048959,0.219429
6.991336,1783997323.722827,1.037536,0.050838,1.291861,2.159290,0.054187,0.199443
7.001449,1783997323.722841,1.056351,0.051644,1.293932,2.152054,0.059328,0.182025
7.011495,1783997323.736186,1.056351,0.051644,1.293932,2.152054,0.059328,0.182025
7.021920,1783997323.760489,1.095876,0.053493,1.298212,2.147488,0.070055,0.153813
7.033835,1783997323.770689,1.116320,0.054454,1.300169,2.148215,0.074755,0.140544
7.046196,1783997323.780126,1.136825,0.055404,1.301878,2.148645,0.078536,0.126362
7.058839,1783997323.796864,1.161829,0.056786,1.304060,2.138630,0.082619,0.108692
7.070870,1783997323.804667,1.182643,0.057769,1.305441,2.140920,0.084247,0.094938
7.080954,1783997323.813878,1.205805,0.058827,1.306724,2.144952,0.084743,0.079032
7.091113,1783997323.823948,1.226004,0.059870,1.307943,2.143578,0.084048,0.065589
7.103119,1783997323.834631,1.246265,0.060871,1.308967,2.142837,0.082064,0.051298
7.115427,1783997323.844716,1.266402,0.061859,1.309891,2.141783,0.078979,0.036973
7.127332,1783997323.866066,1.309091,0.063808,1.311372,2.143570,0.069662,0.005666
7.139140,1783997323.875197,1.308573,0.063944,1.311720,2.140775,0.070000,0.009114
7.150364,1783997323.885654,1.331288,0.064841,1.312119,2.144347,0.063944,-0.008395
7.161563,1783997323.895600,1.351909,0.065592,1.312295,2.147668,0.058130,-0.024800
7.173405,1783997323.905387,1.372365,0.066295,1.312330,2.150199,0.052221,-0.041071
7.184539,1783997323.924780,1.413306,0.067507,1.311823,2.155981,0.041095,-0.075131
7.194672,1783997323.924780,1.413306,0.067507,1.311823,2.155981,0.041095,-0.075131
7.204603,1783997323.938390,1.433831,0.068060,1.311331,2.159556,0.036383,-0.092046
7.214595,1783997323.938390,1.433831,0.068060,1.311331,2.159556,0.036383,-0.092046
7.224588,1783997323.959906,1.479197,0.069080,1.309481,2.168175,0.028606,-0.131806
7.234593,1783997323.969785,1.500359,0.069491,1.308285,2.175295,0.026622,-0.150066
7.244857,1783997323.979784,1.521131,0.069850,1.306892,2.179391,0.025268,-0.169020
7.254914,1783997323.989734,1.540674,0.070268,1.305497,2.175587,0.024480,-0.187190
7.264872,1783997323.999878,1.560555,0.070673,1.303875,2.173966,0.024587,-0.205297
7.275477,1783997324.011731,1.580607,0.071132,1.302096,2.173491,0.025596,-0.222493
7.287814,1783997324.021753,1.600655,0.071596,1.300136,2.172596,0.027191,-0.239397
7.297894,1783997324.031707,1.620945,0.072067,1.297974,2.172900,0.029322,-0.255896
7.309079,1783997324.041778,1.641084,0.072567,1.295678,2.171839,0.031943,-0.271579
7.321028,1783997324.051738,1.661075,0.073101,1.293259,2.169463,0.034652,-0.286547
7.333001,1783997324.063710,1.680804,0.073642,1.290726,2.165089,0.037697,-0.300571
7.344033,1783997324.074735,1.699867,0.074213,1.288167,2.156329,0.041117,-0.313138
7.355984,1783997324.093742,1.741187,0.075531,1.282209,2.133434,0.047298,-0.337843
7.369676,1783997324.103973,1.760059,0.076165,1.279300,2.124027,0.049262,-0.348373
7.380807,1783997324.114147,1.777544,0.076849,1.276575,2.106278,0.050691,-0.356257
7.392197,1783997324.123769,1.795986,0.077474,1.273538,2.094821,0.050806,-0.365181
7.402252,1783997324.137097,1.813004,0.078126,1.270721,2.075211,0.050187,-0.371528
7.416076,1783997324.144766,1.829978,0.078780,1.267839,2.056408,0.048621,-0.377425
7.426128,1783997324.156832,1.847834,0.079352,1.264664,2.043490,0.045723,-0.384402
7.439379,1783997324.176872,1.884356,0.080615,1.258121,2.002498,0.036828,-0.393778
